,Release Group,Worldwide,Domestic,%,Foreign,%.1,Year
392,Anna Karenina,"$858,553","$858,553",100%,-,-,1997
393,Children of the Revolution,"$838,368","$838,368",100%,-,-,1997
394,Dirty Dancing 1997 Re-release,"$817,925","$507,892",62.1%,"$310,033",37.9%,1997
395,Kiss or Kill,"$796,681","$796,681",100%,-,-,1997
396,Prisoner of the Mountains,"$790,078","$790,078",100%,-,-,1997
397,Box of Moonlight,"$782,641","$782,641",100%,-,-,1997
398,The Van,"$712,095","$712,095",100%,-,-,1997
399,Contempt,"$706,604","$706,604",100%,-,-,1997
400,Armageddon,"$553,709,788","$201,578,182",36.4%,"$352,131,606",63.6%,1998
401,Saving Private Ryan,"$481,840,909","$216,540,909",44.9%,"$265,300,000",55.1%,1998
402,Godzilla,"$379,014,294","$136,314,294",36%,"$242,700,000",64%,1998
403,There's Something About Mary,"$369,884,651","$176,484,651",47.7%,"$193,400,000",52.3%,1998
404,A Bug's Life,"$363,258,859","$162,798,565",44.8%,"$200,460,294",55.2%,1998
405,Mulan,"$304,320,254","$120,620,254",39.6%,"$183,700,000",60.4%,1998
406,Doctor Dolittle,"$294,456,605","$144,156,605",49%,"$150,300,000",51%,1998
407,Shakespeare in Love,"$289,317,794","$100,317,794",34.7%,"$189,000,000",65.3%,1998
408,Lethal Weapon 4,"$285,444,603","$130,444,603",45.7%,"$155,000,000",54.3%,1998
409,The Truman Show,"$264,118,201","$125,618,201",47.6%,"$138,500,000",52.4%,1998
410,Enemy of the State,"$250,849,789","$111,549,836",44.5%,"$139,299,953",55.5%,1998
411,You've Got Mail,"$250,821,495","$115,821,495",46.2%,"$135,000,000",53.8%,1998
412,The Mask of Zorro,"$250,288,523","$94,095,523",37.6%,"$156,193,000",62.4%,1998
413,Rush Hour,"$244,386,864","$141,186,864",57.8%,"$103,200,000",42.2%,1998
414,Life Is Beautiful,"$228,847,384","$57,247,384",25%,"$171,600,000",75%,1998
415,The Prince of Egypt,"$218,613,188","$101,413,188",46.4%,"$117,200,000",53.6%,1998
416,Patch Adams,"$202,292,902","$135,026,902",66.7%,"$67,266,000",33.3%,1998
417,City of Angels,"$198,685,114","$78,685,114",39.6%,"$120,000,000",60.4%,1998
418,The Horse Whisperer,"$186,883,563","$75,383,563",40.3%,"$111,500,000",59.7%,1998
419,The Waterboy,"$185,991,646","$161,491,646",86.8%,"$24,500,000",13.2%,1998
420,The Man in the Iron Mask,"$182,968,902","$56,968,902",31.1%,"$126,000,000",68.9%,1998
421,Antz,"$171,757,863","$90,757,863",52.8%,"$81,000,000",47.2%,1998
422,Six Days Seven Nights,"$164,839,294","$74,339,294",45.1%,"$90,500,000",54.9%,1998
423,Stepmom,"$159,710,793","$91,137,662",57.1%,"$68,573,131",42.9%,1998
424,Meet Joe Black,"$142,940,100","$44,619,100",31.2%,"$98,321,000",68.8%,1998
425,The Rugrats Movie,"$140,894,675","$100,494,675",71.3%,"$40,400,000",28.7%,1998
426,Deep Impact,"$140,694,752","$140,464,664",99.8%,"$230,088",0.2%,1998
427,Lost in Space,"$136,159,423","$69,117,629",50.8%,"$67,041,794",49.2%,1998
428,Blade,"$131,183,530","$70,087,718",53.4%,"$61,095,812",46.6%,1998
429,A Perfect Murder,"$128,038,368","$67,638,368",52.8%,"$60,400,000",47.2%,1998
430,The Wedding Singer,"$123,306,987","$80,245,725",65.1%,"$43,061,262",34.9%,1998
431,The Siege,"$116,672,912","$40,981,289",35.1%,"$75,691,623",64.9%,1998
432,Star Trek: Insurrection,"$112,587,658","$70,187,658",62.3%,"$42,400,000",37.7%,1998
433,T-Rex: Back to the Cretaceous,"$103,960,367","$53,354,743",51.3%,"$50,605,624",48.7%,1998
434,Snake Eyes,"$103,891,409","$55,591,409",53.5%,"$48,300,000",46.5%,1998
435,U.S. Marshals,"$102,367,405","$57,167,405",55.8%,"$45,200,000",44.2%,1998
436,Ever After: A Cinderella Story,"$98,005,666","$65,705,771",67%,"$32,299,895",33%,1998
437,Mercury Rising,"$93,107,289","$32,935,289",35.4%,"$60,172,000",64.6%,1998
438,The Parent Trap,"$92,108,518","$66,308,518",72%,"$25,800,000",28%,1998
439,The X Files,"$87,535,637","$83,898,313",95.8%,"$3,637,324",4.2%,1998
440,Everest,"$87,178,599","$87,178,599",100%,-,-,1998
441,Elizabeth,"$82,150,642","$30,082,699",36.6%,"$52,067,943",63.4%,1998
442,Hope Floats,"$81,471,882","$60,053,195",73.7%,"$21,418,687",26.3%,1998
443,Out of Sight,"$77,745,568","$37,562,568",48.3%,"$40,183,000",51.7%,1998
444,Urban Legend,"$72,527,595","$38,072,438",52.5%,"$34,455,157",47.5%,1998
445,Babe: Pig in the City,"$69,131,860","$18,319,860",26.5%,"$50,812,000",73.5%,1998
446,A Civil Action,"$56,709,981","$56,709,981",100%,-,-,1998
447,Great Expectations,"$55,494,066","$26,420,672",47.6%,"$29,073,394",52.4%,1998
448,What Dreams May Come,"$55,382,927","$55,382,927",100%,-,-,1998
449,Waking Ned Devine,"$55,257,450","$24,792,251",44.9%,"$30,465,199",55.1%,1998
450,Halloween H20: 20 Years Later,"$55,041,738","$55,041,738",100%,-,-,1998
451,Small Soldiers,"$54,682,547","$54,682,547",100%,-,-,1998
452,Primary Colors,"$52,090,187","$39,001,187",74.9%,"$13,089,000",25.1%,1998
453,Bride of Chucky,"$50,688,658","$32,400,658",63.9%,"$18,288,000",36.1%,1998
454,Mighty Joe Young,"$50,632,037","$50,632,037",100%,-,-,1998
455,Pleasantville,"$49,805,462","$40,584,421",81.5%,"$9,221,041",18.5%,1998
456,The Object of My Affection,"$46,905,889","$29,187,243",62.2%,"$17,718,646",37.8%,1998
457,Practical Magic,"$46,733,235","$46,732,881",100%,$354,<0.1%,1998
458,The Big Lebowski,"$46,142,637","$17,451,873",37.8%,"$28,690,764",62.2%,1998
459,Mysteries of Egypt,"$44,703,731","$40,593,486",90.8%,"$4,110,245",9.2%,1998
460,The Negotiator,"$44,547,681","$44,547,681",100%,-,-,1998
461,Ronin,"$41,616,262","$41,616,262",100%,-,-,1998
462,The Faculty,"$40,283,321","$40,283,321",100%,-,-,1998
463,I Still Know What You Did Last Summer,"$40,002,112","$40,002,112",100%,-,-,1998
464,The Thin Red Line,"$39,873,111","$36,400,491",91.3%,"$3,472,620",8.7%,1998
465,How Stella Got Her Groove Back,"$39,278,722","$37,672,941",95.9%,"$1,605,781",4.1%,1998
466,Psycho,"$37,170,655","$21,485,655",57.8%,"$15,685,000",42.2%,1998
467,Sphere,"$37,020,277","$37,020,277",100%,-,-,1998
468,Jack Frost,"$34,562,556","$34,562,556",100%,-,-,1998
469,A Night at the Roxbury,"$30,331,165","$30,331,165",100%,-,-,1998
470,Wild Things,"$30,147,739","$30,147,739",100%,-,-,1998
471,Madeline,"$29,967,750","$29,967,750",100%,-,-,1998
472,Spice World,"$29,342,592","$29,342,592",100%,-,-,1998
473,Bulworth,"$29,202,884","$26,528,185",90.8%,"$2,674,699",9.2%,1998
474,Grease 1998 Re-release,"$28,411,018","$28,411,018",100%,-,-,1998
475,Dark City,"$27,200,316","$14,378,331",52.9%,"$12,821,985",47.1%,1998
476,The Big Hit,"$27,007,143","$27,007,143",100%,-,-,1998
477,Paulie,"$26,875,268","$26,875,268",100%,-,-,1998
478,One True Thing,"$26,616,840","$23,245,840",87.3%,"$3,371,000",12.7%,1998
479,Can't Hardly Wait,"$25,605,015","$25,605,015",100%,-,-,1998
480,Fallen,"$25,232,289","$25,232,289",100%,-,-,1998
481,American History X,"$23,875,127","$6,719,864",28.1%,"$17,155,263",71.9%,1998
482,The Avengers,"$23,384,939","$23,384,939",100%,-,-,1998
483,The Players Club,"$23,261,485","$23,047,939",99.1%,"$213,546",0.9%,1998
484,Rounders,"$22,912,409","$22,912,409",100%,-,-,1998
485,Beloved,"$22,852,487","$22,852,487",100%,-,-,1998
486,The Borrowers,"$22,619,589","$22,619,589",100%,-,-,1998
487,Quest for Camelot,"$22,510,798","$22,510,798",100%,-,-,1998
488,He Got Game,"$21,567,853","$21,567,853",100%,-,-,1998
489,Vampires,"$20,308,772","$20,308,772",100%,-,-,1998
490,Mafia!,"$19,889,299","$19,889,299",100%,-,-,1998
491,Hard Rain,"$19,870,567","$19,870,567",100%,-,-,1998
492,Species II,"$19,221,939","$19,221,939",100%,-,-,1998
493,The Replacement Killers,"$19,204,929","$19,204,929",100%,-,-,1998
494,The Odd Couple II,"$18,912,328","$18,912,328",100%,-,-,1998
495,Mr. Nice Guy,"$18,814,720","$12,716,953",67.6%,"$6,097,767",32.4%,1998
496,Simon Birch,"$18,253,415","$18,253,415",100%,-,-,1998
497,Disturbing Behavior,"$17,514,980","$17,514,980",100%,-,-,1998
498,Half Baked,"$17,460,020","$17,460,020",100%,-,-,1998
499,Rushmore,"$17,105,219","$17,105,219",100%,-,-,1998
500,54,"$16,757,163","$16,757,163",100%,-,-,1998
501,A Simple Plan,"$16,316,273","$16,316,273",100%,-,-,1998
502,Dance with Me,"$15,923,122","$15,923,122",100%,-,-,1998
503,Living Out Loud,"$15,610,299","$12,905,901",82.7%,"$2,704,398",17.3%,1998
504,Dead Man on Campus,"$15,064,946","$15,064,946",100%,-,-,1998
505,Twilight,"$15,055,091","$15,055,091",100%,-,-,1998
506,The Wizard of Oz 1998 Re-release,"$14,836,984","$14,836,984",100%,-,-,1998
507,Soldier,"$14,594,226","$14,594,226",100%,-,-,1998
508,Les Misérables,"$14,096,321","$14,096,321",100%,-,-,1998
509,Blues Brothers 2000,"$14,051,384","$14,051,384",100%,-,-,1998
510,Desperate Measures,"$13,806,137","$13,806,137",100%,-,-,1998
511,Hush,"$13,583,690","$13,583,690",100%,-,-,1998
512,Africa's Elephant Kingdom,"$13,485,455","$13,485,455",100%,-,-,1998
513,Black Dog,"$12,951,088","$12,951,088",100%,-,-,1998
514,Senseless,"$12,874,899","$12,874,899",100%,-,-,1998
515,Why Do Fools Fall in Love,"$12,461,773","$12,461,773",100%,-,-,1998
516,Barney's Great Adventure,"$12,218,638","$12,218,638",100%,-,-,1998
517,I'll Be Home for Christmas,"$12,214,338","$12,214,338",100%,-,-,1998
518,Holy Man,"$12,069,719","$12,069,719",100%,-,-,1998
519,Sliding Doors,"$11,841,544","$11,841,544",100%,-,-,1998
520,Deep Rising,"$11,203,026","$11,203,026",100%,-,-,1998
521,Fear and Loathing in Las Vegas,"$10,680,275","$10,680,275",100%,-,-,1998
522,Home Fries,"$10,493,366","$10,493,366",100%,-,-,1998
523,The Newton Boys,"$10,452,012","$10,452,012",100%,-,-,1998
524,Knock Off,"$10,319,915","$10,319,915",100%,-,-,1998
525,I Got the Hook Up,"$10,317,779","$10,317,779",100%,-,-,1998
526,Air Bud: Golden Receiver,"$10,224,116","$10,224,116",100%,-,-,1998
527,Dirty Work,"$10,023,282","$10,023,282",100%,-,-,1998
528,The Red Violin,"$10,019,109","$10,019,109",100%,-,-,1998
529,Very Bad Things,"$9,898,412","$9,898,412",100%,-,-,1998
530,Belly,"$9,639,390","$9,639,390",100%,-,-,1998
531,Wrongfully Accused,"$9,623,329","$9,623,329",100%,-,-,1998
532,The Spanish Prisoner,"$9,584,314","$9,584,314",100%,-,-,1998
533,Ringmaster,"$9,257,103","$9,257,103",100%,-,-,1998
534,Apt Pupil,"$8,863,193","$8,863,193",100%,-,-,1998
535,Return to Paradise,"$8,341,087","$8,341,087",100%,-,-,1998
536,Woo,"$8,165,984","$8,064,972",98.8%,"$101,012",1.2%,1998
537,Firestorm,"$8,165,212","$8,165,212",100%,-,-,1998
538,My Giant,"$8,072,007","$8,072,007",100%,-,-,1998
539,Titanic 2017 Re-release,"$7,647,942","$691,642",9%,"$6,956,300",91%,1998
540,Krippendorf's Tribe,"$7,571,115","$7,571,115",100%,-,-,1998
541,Star Kid,"$7,029,025","$7,029,025",100%,-,-,1998
542,BASEketball,"$7,027,290","$7,027,290",100%,-,-,1998
543,Caught Up,"$6,754,958","$6,754,958",100%,-,-,1998
544,Gone with the Wind 1998 Re-release,"$6,750,112","$6,750,112",100%,-,-,1998
545,Smoke Signals,"$6,745,362","$6,745,362",100%,-,-,1998
546,Gods and Monsters,"$6,451,628","$6,451,628",100%,-,-,1998
547,Affliction,"$6,330,054","$6,330,054",100%,-,-,1998
548,Almost Heroes,"$6,136,856","$6,136,856",100%,-,-,1998
549,Les Boys II,"$5,974,732","$5,974,732",100%,-,-,1998
550,Central Station,"$5,969,553","$5,969,553",100%,-,-,1998
551,The Opposite of Sex,"$5,881,367","$5,881,367",100%,-,-,1998
552,Palmetto,"$5,878,911","$5,878,911",100%,-,-,1998
553,Down in the Delta,"$5,672,903","$5,672,903",100%,-,-,1998
554,Phantoms,"$5,624,282","$5,624,282",100%,-,-,1998
555,Slums of Beverly Hills,"$5,502,773","$5,502,773",100%,-,-,1998
556,Ride,"$5,485,295","$5,485,295",100%,-,-,1998
557,Celebrity,"$5,078,660","$5,078,660",100%,-,-,1998
558,Hilary and Jackie,"$4,912,892","$4,912,892",100%,-,-,1998
559,Your Friends and Neighbors,"$4,714,658","$4,714,658",100%,-,-,1998
560,Little Voice,"$4,611,784","$4,611,784",100%,-,-,1998
561,Dangerous Beauty,"$4,553,271","$4,553,271",100%,-,-,1998
562,Meet the Deedles,"$4,356,216","$4,356,216",100%,-,-,1998
563,Kissing a Fool,"$4,106,588","$4,106,588",100%,-,-,1998
564,The Governess,"$3,719,509","$3,719,509",100%,-,-,1998
565,Major League: Back to the Minors,"$3,572,443","$3,572,443",100%,-,-,1998
566,Next Stop Wonderland,"$3,395,581","$3,395,581",100%,-,-,1998
567,Mrs Dalloway,"$3,309,421","$3,309,421",100%,-,-,1998
568,Pi,"$3,221,152","$3,221,152",100%,-,-,1998
569,The Last Days of Disco,"$3,020,601","$3,020,601",100%,-,-,1998
570,Happiness,"$2,982,011","$2,982,011",100%,-,-,1998
571,Freeriders,"$2,750,064","$2,750,064",100%,-,-,1998
572,The Mighty,"$2,652,246","$2,652,246",100%,-,-,1998
573,Love and Death on Long Island,"$2,581,012","$2,581,012",100%,-,-,1998
574,Buffalo '66,"$2,375,097","$2,375,097",100%,-,-,1998
575,Mark Twain's America in,"$2,297,096","$2,297,096",100%,-,-,1998
576,Dancing at Lughnasa,"$2,287,818","$2,287,818",100%,-,-,1998
577,Hav Plenty,"$2,284,034","$2,284,034",100%,-,-,1998
578,Pecker,"$2,281,761","$2,281,761",100%,-,-,1998
579,Touch of Evil 1998 Re-release,"$2,247,465","$2,247,465",100%,-,-,1998
580,The Impostors,"$2,198,044","$2,198,044",100%,-,-,1998
581,Chinese Box,"$2,178,160","$2,178,160",100%,-,-,1998
582,Tarzan and the Lost City,"$2,172,941","$2,172,941",100%,-,-,1998
583,Wilde,"$2,158,775","$2,158,775",100%,-,-,1998
584,Zero Effect,"$2,087,471","$2,087,471",100%,-,-,1998
585,Billy's Hollywood Screen Kiss,"$2,070,399","$2,070,399",100%,-,-,1998
586,Two Girls and a Guy,"$2,057,193","$2,057,193",100%,-,-,1998
587,The Butcher Boy,"$1,995,911","$1,995,911",100%,-,-,1998
588,High Art,"$1,960,216","$1,960,216",100%,-,-,1998
589,Oscar and Lucinda,"$1,897,404","$1,897,404",100%,-,-,1998
590,Hurlyburly,"$1,798,862","$1,798,862",100%,-,-,1998
591,Clay Pigeons,"$1,794,086","$1,794,086",100%,-,-,1998
592,A Soldier's Daughter Never Cries,"$1,782,005","$1,782,005",100%,-,-,1998
593,Suicide Kings,"$1,740,156","$1,740,156",100%,-,-,1998
594,Live Flesh,"$1,713,459","$1,713,459",100%,-,-,1998
595,The Gingerbread Man,"$1,677,131","$1,677,131",100%,-,-,1998
596,The Celebration,"$1,657,778","$1,656,223",99.9%,"$1,555",<0.1%,1998
597,In God's Hands,"$1,546,414","$1,546,414",100%,-,-,1998
598,Henry Fool,"$1,338,335","$1,338,335",100%,-,-,1998
599,Cousin Bette,"$1,295,194","$1,295,194",100%,-,-,1998
600,Star Wars: Episode I - The Phantom Menace,"$924,305,084","$431,088,295",46.6%,"$493,216,789",53.4%,1999
601,The Sixth Sense,"$672,806,292","$293,506,292",43.6%,"$379,300,000",56.4%,1999
602,Toy Story 2,"$487,059,677","$245,852,179",50.5%,"$241,207,498",49.5%,1999
603,The Matrix,"$463,517,383","$171,479,930",37%,"$292,037,453",63%,1999
604,Tarzan,"$448,191,819","$171,091,819",38.2%,"$277,100,000",61.8%,1999
605,American Beauty,"$356,296,601","$130,096,601",36.5%,"$226,200,000",63.5%,1999
606,Runaway Bride,"$309,460,292","$152,257,509",49.2%,"$157,202,783",50.8%,1999
607,Stuart Little,"$300,135,367","$140,035,367",46.7%,"$160,100,000",53.3%,1999
608,The Green Mile,"$286,801,374","$136,801,374",47.7%,"$150,000,000",52.3%,1999
609,The Blair Witch Project,"$248,639,099","$140,539,099",56.5%,"$108,100,000",43.5%,1999
610,American Pie,"$235,483,004","$102,561,004",43.6%,"$132,922,000",56.4%,1999
611,Big Daddy,"$234,801,895","$163,479,795",69.6%,"$71,322,100",30.4%,1999
612,Wild Wild West,"$222,104,681","$113,804,681",51.2%,"$108,300,000",48.8%,1999
613,Entrapment,"$212,404,396","$87,704,396",41.3%,"$124,700,000",58.7%,1999
614,End of Days,"$211,989,043","$66,889,043",31.6%,"$145,100,000",68.4%,1999
615,Austin Powers: The Spy Who Shagged Me,"$206,756,056","$206,040,086",99.7%,"$715,970",0.3%,1999
616,Sleepy Hollow,"$206,071,502","$101,071,502",49%,"$105,000,000",51%,1999
617,Double Jeopardy,"$177,841,558","$116,741,558",65.6%,"$61,100,000",34.4%,1999
618,The Haunting,"$177,311,151","$91,411,151",51.6%,"$85,900,000",48.4%,1999
619,Analyze This,"$176,885,658","$106,885,658",60.4%,"$70,000,000",39.6%,1999
620,Deep Blue Sea,"$164,648,142","$73,648,142",44.7%,"$91,000,000",55.3%,1999
621,Pokémon: The First Movie - Mewtwo Strikes Back,"$163,644,662","$85,744,662",52.4%,"$77,900,000",47.6%,1999
622,Eyes Wide Shut,"$162,091,208","$55,691,208",34.4%,"$106,400,000",65.6%,1999
623,Payback,"$161,626,121","$81,526,121",50.4%,"$80,100,000",49.6%,1999
624,Princess Mononoke,"$159,414,369","$2,375,308",1.5%,"$157,039,061",98.5%,1999
625,The Mummy,"$155,563,437","$155,385,488",99.9%,"$177,949",0.1%,1999
626,The Bone Collector,"$151,493,655","$66,518,655",43.9%,"$84,975,000",56.1%,1999
627,The General's Daughter,"$149,705,852","$102,705,852",68.6%,"$47,000,000",31.4%,1999
628,Inspector Gadget,"$134,403,112","$97,403,112",72.5%,"$37,000,000",27.5%,1999
629,The Talented Mr. Ripley,"$128,798,265","$81,298,265",63.1%,"$47,500,000",36.9%,1999
630,The World Is Not Enough,"$126,943,684","$126,943,684",100%,-,-,1999
631,The Thomas Crown Affair,"$124,305,181","$69,305,181",55.8%,"$55,000,000",44.2%,1999
632,Notting Hill,"$124,182,015","$116,089,678",93.5%,"$8,092,337",6.5%,1999
633,Message in a Bottle,"$118,880,016","$52,880,016",44.5%,"$66,000,000",55.5%,1999
634,Blue Streak,"$117,758,500","$68,518,533",58.2%,"$49,239,967",41.8%,1999
635,Anna and the King,"$113,996,937","$39,263,420",34.4%,"$74,733,517",65.6%,1999
636,Three Kings,"$107,752,036","$60,652,036",56.3%,"$47,100,000",43.7%,1999
637,She's All That,"$103,166,989","$63,366,989",61.4%,"$39,800,000",38.6%,1999
638,Fight Club,"$100,853,753","$37,030,102",36.7%,"$63,823,651",63.3%,1999
639,Any Given Sunday,"$100,230,832","$75,530,832",75.4%,"$24,700,000",24.6%,1999
640,Bowfinger,"$98,625,775","$66,384,775",67.3%,"$32,241,000",32.7%,1999
641,8MM,"$96,618,699","$36,663,315",37.9%,"$59,955,384",62.1%,1999
642,Forces of Nature,"$93,900,680","$52,900,680",56.3%,"$41,000,000",43.7%,1999
643,Deuce Bigalow: Male Gigolo,"$92,938,755","$65,538,755",70.5%,"$27,400,000",29.5%,1999
644,Galaxy Quest,"$90,683,916","$71,583,916",78.9%,"$19,100,000",21.1%,1999
645,Stigmata,"$89,446,268","$50,046,268",56%,"$39,400,000",44%,1999
646,The Cider House Rules,"$88,545,092","$57,545,092",65%,"$31,000,000",35%,1999
647,Bicentennial Man,"$87,423,861","$58,223,861",66.6%,"$29,200,000",33.4%,1999
648,Never Been Kissed,"$84,565,230","$55,474,756",65.6%,"$29,090,474",34.4%,1999
649,"South Park: Bigger, Longer & Uncut","$83,137,603","$52,037,603",62.6%,"$31,100,000",37.4%,1999
650,Cruel Intentions,"$75,902,208","$38,328,567",50.5%,"$37,573,641",49.5%,1999
651,Random Hearts,"$74,608,570","$31,502,583",42.2%,"$43,105,987",57.8%,1999
652,The Hurricane,"$73,956,241","$50,699,241",68.6%,"$23,257,000",31.4%,1999
653,Life,"$73,475,268","$64,016,268",87.1%,"$9,459,000",12.9%,1999
654,All About My Mother,"$67,872,296","$8,272,296",12.2%,"$59,600,000",87.8%,1999
655,The Messenger: The Story of Joan of Arc,"$66,976,317","$14,276,317",21.3%,"$52,700,000",78.7%,1999
656,The 13th Warrior,"$61,698,899","$32,698,899",53%,"$29,000,000",47%,1999
657,The Insider,"$60,289,912","$29,089,912",48.3%,"$31,200,000",51.7%,1999
658,The Story of Us,"$58,900,031","$27,100,031",46%,"$31,800,000",54%,1999
659,Lake Placid,"$56,870,414","$31,770,414",55.9%,"$25,100,000",44.1%,1999
660,Varsity Blues,"$54,294,169","$52,894,169",97.4%,"$1,400,000",2.6%,1999
661,Mickey Blue Eyes,"$54,264,342","$33,864,342",62.4%,"$20,400,000",37.6%,1999
662,10 Things I Hate About You,"$53,478,166","$38,178,166",71.4%,"$15,300,000",28.6%,1999
663,Magnolia,"$48,451,803","$22,455,976",46.3%,"$25,995,827",53.7%,1999
664,"Girl, Interrupted","$48,350,205","$28,912,646",59.8%,"$19,437,559",40.2%,1999
665,Man on the Moon,"$47,434,430","$34,607,430",73%,"$12,827,000",27%,1999
666,For Love of the Game,"$46,112,640","$35,188,640",76.3%,"$10,924,000",23.7%,1999
667,House on Haunted Hill,"$42,593,455","$40,846,082",95.9%,"$1,747,373",4.1%,1999
668,Arlington Road,"$41,067,311","$24,756,177",60.3%,"$16,311,134",39.7%,1999
669,Blast from the Past,"$40,263,020","$26,511,114",65.8%,"$13,751,906",34.2%,1999
670,Encounter in the Third Dimension,"$38,171,557","$7,195,792",18.9%,"$30,975,765",81.1%,1999
671,The Bachelor,"$36,911,617","$21,760,240",59%,"$15,151,377",41%,1999
672,My Favorite Martian,"$36,850,101","$36,850,101",100%,-,-,1999
673,Baby Geniuses,"$36,450,736","$27,250,736",74.8%,"$9,200,000",25.2%,1999
674,Edtv,"$35,242,897","$22,431,897",63.6%,"$12,811,000",36.4%,1999
675,October Sky,"$34,698,685","$32,570,685",93.9%,"$2,128,000",6.1%,1999
676,The Best Man,"$34,573,780","$34,102,780",98.6%,"$471,000",1.4%,1999
677,Instinct,"$34,105,207","$34,105,207",100%,-,-,1999
678,Mystery Men,"$33,461,011","$29,762,011",88.9%,"$3,699,000",11.1%,1999
679,Dogma,"$31,117,471","$30,652,890",98.5%,"$464,581",1.5%,1999
680,Virus,"$30,652,005","$14,036,005",45.8%,"$16,616,000",54.2%,1999
681,Superstar,"$30,636,478","$30,636,478",100%,-,-,1999
682,Galapagos,"$29,349,172","$18,630,372",63.5%,"$10,718,800",36.5%,1999
683,The Out-of-Towners,"$28,544,120","$28,544,120",100%,-,-,1999
684,Go,"$28,451,622","$16,943,454",59.6%,"$11,508,168",40.4%,1999
685,The Deep End of the Ocean,"$28,121,100","$13,898,649",49.4%,"$14,222,451",50.6%,1999
686,The Other Sister,"$27,807,627","$27,807,627",100%,-,-,1999
687,The Wood,"$25,059,640","$25,059,640",100%,-,-,1999
688,The Corruptor,"$24,493,601","$15,164,492",61.9%,"$9,329,109",38.1%,1999
689,Alien Adventure,"$24,074,680","$8,959,784",37.2%,"$15,114,896",62.8%,1999
690,Anywhere But Here,"$23,631,929","$18,670,401",79%,"$4,961,528",21%,1999
